mission_id,object_id,track_id,class,motion_state,association_status,association_confidence,pos_x_local,pos_y_local,pos_z_local,coordinate_system,scale_status,reprojection_error_px,observations_count,metric_length_m,metric_width_m,metric_height_m
north-ridge,OBJ_T0001,T0001,van,STATIC,VALID,0.786,-1.3240,1.1490,9.9120,LOCAL_ARBITRARY,RELATIVE_SCALE,12.5900,3,,,
north-ridge,OBJ_T0002,T0002,van,STATIC,VALID,0.764,-1.2590,1.7890,8.1220,LOCAL_ARBITRARY,RELATIVE_SCALE,2.7900,2,,,
north-ridge,OBJ_T0003,T0003,van,MOVING,VALID,0.567,-1.8230,-2.0270,19.3160,LOCAL_ARBITRARY,RELATIVE_SCALE,23.8500,8,,,
north-ridge,OBJ_T0004,T0004,van,STATIC,LOW_CONFIDENCE,0.693,-0.7500,2.7700,5.7440,LOCAL_ARBITRARY,RELATIVE_SCALE,0.0600,1,,,
north-ridge,OBJ_T0005,T0005,van,STATIC,VALID,0.711,-0.8770,1.6000,8.3790,LOCAL_ARBITRARY,RELATIVE_SCALE,13.6700,3,,,
north-ridge,OBJ_T0006,T0006,van,STATIC,VALID,0.724,-1.0040,1.0940,10.4160,LOCAL_ARBITRARY,RELATIVE_SCALE,13.7900,6,,,
north-ridge,OBJ_T0007,T0007,van,STATIC,LOW_CONFIDENCE,0.64,-1.1420,2.7030,5.7200,LOCAL_ARBITRARY,RELATIVE_SCALE,0.0800,1,,,
north-ridge,OBJ_T0008,T0008,van,STATIC,LOW_CONFIDENCE,0.633,-0.6810,3.9690,7.0280,LOCAL_ARBITRARY,RELATIVE_SCALE,0.0800,1,,,
north-ridge,OBJ_T0009,T0009,van,STATIC,VALID,0.689,-1.1340,0.1480,13.7360,LOCAL_ARBITRARY,RELATIVE_SCALE,15.5900,8,,,
north-ridge,OBJ_T0010,T0010,van,STATIC,VALID,0.772,-1.2160,-0.9530,16.6510,LOCAL_ARBITRARY,RELATIVE_SCALE,8.1600,5,,,
north-ridge,OBJ_T0011,T0011,van,STATIC,VALID,0.626,-0.7350,2.1620,6.3150,LOCAL_ARBITRARY,RELATIVE_SCALE,7.9900,2,,,
north-ridge,OBJ_T0012,T0012,van,MOVING,LOW_CONFIDENCE,0.567,-1.1370,-0.2500,14.3990,LOCAL_ARBITRARY,RELATIVE_SCALE,31.8600,10,,,
north-ridge,OBJ_T0013,T0013,van,STATIC,LOW_CONFIDENCE,0.572,-6.4790,1.0970,7.1880,LOCAL_ARBITRARY,RELATIVE_SCALE,0.0900,1,,,
north-ridge,OBJ_T0014,T0014,van,STATIC,LOW_CONFIDENCE,0.562,-1.7470,3.0570,7.9560,LOCAL_ARBITRARY,RELATIVE_SCALE,0.0900,1,,,
north-ridge,OBJ_T0015,T0015,van,STATIC,VALID,0.561,-1.7500,-1.7700,18.5500,LOCAL_ARBITRARY,RELATIVE_SCALE,20.4100,6,,,
